"sample.id","value","dataset.id","site.id","site.name","depth","elev","type","pub_year","age","geometry"
31511,9.8,1660,1609,"Long Lake",18,2727,"fossil",1964,2000,c(-108.833333, 36.005556)
34305,10.8,1717,1661,"Mayberry Well",47,2080,"fossil",1990,4981,c(-108.3, 33.7)
35228,11.85,1761,1705,"Molas Lake",2,3200,"fossil",1961,174,c(-107.682735, 37.74759)
35229,11.85,1761,1705,"Molas Lake",3,3200,"fossil",1961,267,c(-107.682735, 37.74759)
35230,16.15,1761,1705,"Molas Lake",5,3200,"fossil",1961,452,c(-107.682735, 37.74759)
35231,11.85,1761,1705,"Molas Lake",8,3200,"fossil",1961,729,c(-107.682735, 37.74759)
35232,11.85,1761,1705,"Molas Lake",10,3200,"fossil",1961,914,c(-107.682735, 37.74759)
35233,11.85,1761,1705,"Molas Lake",11,3200,"fossil",1961,1007,c(-107.682735, 37.74759)
35234,11.85,1761,1705,"Molas Lake",14,3200,"fossil",1961,1284,c(-107.682735, 37.74759)
35235,11.85,1761,1705,"Molas Lake",14.2,3200,"fossil",1961,1303,c(-107.682735, 37.74759)
35236,11.85,1761,1705,"Molas Lake",16.8,3200,"fossil",1961,1544,c(-107.682735, 37.74759)
35237,11.85,1761,1705,"Molas Lake",18,3200,"fossil",1961,1655,c(-107.682735, 37.74759)
35238,11.85,1761,1705,"Molas Lake",19.2,3200,"fossil",1961,1766,c(-107.682735, 37.74759)
35239,11.85,1761,1705,"Molas Lake",21,3200,"fossil",1961,1932,c(-107.682735, 37.74759)
35240,11.85,1761,1705,"Molas Lake",21.8,3200,"fossil",1961,2006,c(-107.682735, 37.74759)
35241,11.85,1761,1705,"Molas Lake",23,3200,"fossil",1961,2117,c(-107.682735, 37.74759)
35242,11.85,1761,1705,"Molas Lake",24.2,3200,"fossil",1961,2228,c(-107.682735, 37.74759)
35243,11.85,1761,1705,"Molas Lake",26,3200,"fossil",1961,2395,c(-107.682735, 37.74759)
35244,11.85,1761,1705,"Molas Lake",28,3200,"fossil",1961,2580,c(-107.682735, 37.74759)
35245,11.85,1761,1705,"Molas Lake",28.5,3200,"fossil",1961,2626,c(-107.682735, 37.74759)
35246,11.85,1761,1705,"Molas Lake",31,3200,"fossil",1961,2858,c(-107.682735, 37.74759)
35247,11.85,1761,1705,"Molas Lake",32.5,3200,"fossil",1961,2996,c(-107.682735, 37.74759)
35248,11.85,1761,1705,"Molas Lake",33.5,3200,"fossil",1961,3089,c(-107.682735, 37.74759)
35249,11.85,1761,1705,"Molas Lake",38.2,3200,"fossil",1961,3524,c(-107.682735, 37.74759)
35250,11.85,1761,1705,"Molas Lake",44,3200,"fossil",1961,4060,c(-107.682735, 37.74759)
35251,11.85,1761,1705,"Molas Lake",49.8,3200,"fossil",1961,4597,c(-107.682735, 37.74759)
35252,12.15,1761,1705,"Molas Lake",55.5,3200,"fossil",1961,5125,c(-107.682735, 37.74759)
35301,11.9,1762,1706,"Molas Pass Bog",5,3220,"fossil",1961,370,c(-107.6975, 37.737778)
35302,11.9,1762,1706,"Molas Pass Bog",10,3220,"fossil",1961,751,c(-107.6975, 37.737778)
35303,11.9,1762,1706,"Molas Pass Bog",15,3220,"fossil",1961,1132,c(-107.6975, 37.737778)
35304,11.9,1762,1706,"Molas Pass Bog",20,3220,"fossil",1961,1512,c(-107.6975, 37.737778)
35305,14.75,1762,1706,"Molas Pass Bog",25,3220,"fossil",1961,1893,c(-107.6975, 37.737778)
35306,11.9,1762,1706,"Molas Pass Bog",30,3220,"fossil",1961,2274,c(-107.6975, 37.737778)
35307,11.9,1762,1706,"Molas Pass Bog",35,3220,"fossil",1961,2655,c(-107.6975, 37.737778)
35308,11.9,1762,1706,"Molas Pass Bog",40,3220,"fossil",1961,3036,c(-107.6975, 37.737778)
35309,11.9,1762,1706,"Molas Pass Bog",45,3220,"fossil",1961,3417,c(-107.6975, 37.737778)
35310,11.9,1762,1706,"Molas Pass Bog",50,3220,"fossil",1961,3798,c(-107.6975, 37.737778)
35311,11.9,1762,1706,"Molas Pass Bog",55,3220,"fossil",1961,4178,c(-107.6975, 37.737778)
35312,12.75,1762,1706,"Molas Pass Bog",57,3220,"fossil",1961,4331,c(-107.6975, 37.737778)
35313,11.9,1762,1706,"Molas Pass Bog",60,3220,"fossil",1961,4559,c(-107.6975, 37.737778)
35314,15.3,1762,1706,"Molas Pass Bog",65,3220,"fossil",1961,4940,c(-107.6975, 37.737778)
35315,15.3,1762,1706,"Molas Pass Bog",70,3220,"fossil",1961,5258,c(-107.6975, 37.737778)
35439,27.65,1766,1710,"Montezuma Well",5,1081,"fossil",1989,-2,c(-111.75225, 34.6492)
35440,27.65,1766,1710,"Montezuma Well",10,1081,"fossil",1989,30,c(-111.75225, 34.6492)
35441,27.65,1766,1710,"Montezuma Well",22,1081,"fossil",1989,112,c(-111.75225, 34.6492)
35442,27.65,1766,1710,"Montezuma Well",42,1081,"fossil",1989,250,c(-111.75225, 34.6492)
35443,27.65,1766,1710,"Montezuma Well",61,1081,"fossil",1989,381,c(-111.75225, 34.6492)
35444,16.95,1766,1710,"Montezuma Well",80,1081,"fossil",1989,508,c(-111.75225, 34.6492)
35445,27.65,1766,1710,"Montezuma Well",100,1081,"fossil",1989,646,c(-111.75225, 34.6492)
35446,27.65,1766,1710,"Montezuma Well",118,1081,"fossil",1989,772,c(-111.75225, 34.6492)
35447,27.65,1766,1710,"Montezuma Well",138,1081,"fossil",1989,909,c(-111.75225, 34.6492)
35448,27.65,1766,1710,"Montezuma Well",158,1081,"fossil",1989,1050,c(-111.75225, 34.6492)
