Year,Prop in niche,Prop in niche (Gaussian centered),Prop in niche (linear lagged)
439,0.7118279569892473,0.638639359895357,0.500154230476811
440,0.6679569892473118,0.62114584270154,0.500007137426492
441,0.29118279569892475,0.604694675026649,0.523259631646729
442,0.6855913978494623,0.584613717573876,0.518355909323651
443,0.3377777777777778,0.569100007387513,0.530188521156263
444,0.5293189964157706,0.556516907619677,0.583850796754023
445,0.691899641577061,0.544762846007789,0.616214371053081
446,0.6371326164874552,0.531298764530072,0.637532933016804
447,0.17405017921146954,0.519240988800027,0.67514344675635
448,0.7759139784946236,0.511954924105425,0.695979766947509
449,0.29634408602150536,0.50674250984172,0.689502086921442
450,0.6408602150537634,0.499483296524407,0.678432248754829
451,0.6384229390681003,0.493177138707622,0.669881611817096
452,0.24530465949820787,0.493192342852477,0.648916817949076
453,0.47913978494623655,0.483438712837742,0.64404226597775
454,0.8166308243727599,0.483888641770876,0.61326506229732
455,0.3329032258064516,0.483405979579433,0.609698210988533
456,0.13949820788530465,0.484247751716786,0.59850610560288
457,0.37763440860215053,0.487778054861521,0.571876677683129
458,0.661505376344086,0.498086072834909,0.555094415739577
459,0.7813620071684588,0.498857814689853,0.52967152321991
460,0.3286021505376344,0.507881416984107,0.51054011699173
461,0.37706093189964157,0.515581522818174,0.494137690266723
462,0.6898924731182796,0.52463879373965,0.513713478874769
463,0.021648745519713262,0.533716954409176,0.494559729398439
464,0.7956989247311828,0.536946946615622,0.50900774255613
465,0.7171326164874552,0.540369111953877,0.506855963630157
466,0.7502508960573476,0.546854276810032,0.490176728886406
467,0.6807168458781362,0.552982934770486,0.478664990923055
468,0.7423655913978494,0.553964457710665,0.511711896228025
469,0.12974910394265232,0.553893995244863,0.487246660149886
470,0.49849462365591396,0.554052346912375,0.507253797576378
471,0.614336917562724,0.560365285660725,0.495826467439371
472,0.6431541218637993,0.568031354894134,0.484641189157318
473,0.34351254480286736,0.577153911702683,0.509619078651337
474,0.2160573476702509,0.595197563864515,0.512200344458409
475,0.7452329749103943,0.608731829175073,0.483791525081848
476,0.7374910394265233,0.625964677878275,0.501109404335211
477,0.7436559139784946,0.646614791344322,0.538624959270121
478,0.584516129032258,0.666241791009877,0.555387360548651
479,0.7377777777777778,0.687937330695052,0.546673493770268
480,0.6953405017921147,0.714050065014822,0.526691182175053
481,0.7417921146953405,0.733490110540169,0.549657558689817
482,0.7482437275985663,0.750878849384191,0.56982544337383
483,0.8724014336917563,0.760333599659194,0.562344179118373
484,0.8736917562724015,0.773810881346484,0.619300842526649
485,0.8150537634408602,0.784353294278377,0.605973095005353
486,0.7684587813620072,0.789138724898524,0.600009930332511
487,0.9075268817204301,0.792190462165542,0.591716861394281
488,0.6093189964157706,0.79452267368065,0.589435988145666
489,0.9075268817204301,0.79817583998684,0.582265667426958
490,0.9207168458781362,0.798412988072063,0.634211857437664
491,0.7843727598566308,0.796698887244007,0.653873295163618
492,0.8533333333333334,0.79822906153985,0.664038231780167
493,0.3065232974910394,0.801134205560331,0.670126146255179
494,0.8729749103942652,0.804555492393765,0.705746248972056
495,0.8169175627240144,0.808860055110181,0.755554314263992
496,0.9620071684587813,0.812724196424313,0.758193920774566
497,0.8693906810035842,0.815611802345861,0.762108333721237
498,0.8883154121863799,0.814245228040567,0.766088535120793
499,0.933763440860215,0.813154303203717,0.786047882822076
500,0.7320430107526882,0.810006220889105,0.792049527533399
501,0.5232974910394266,0.805392484841199,0.801164331486912
502,0.9286021505376344,0.799971070746956,0.806864962993995
503,0.9660215053763441,0.788498826086809,0.81292184517991
504,0.9772043010752688,0.783425132995734,0.808145355242129
505,0.9032258064516129,0.77002845503546,0.803379416282642
506,0.7187096774193549,0.753062215754151,0.803527129978743
507,0.6172043010752688,0.736064742167685,0.807255969836615
508,0.4440143369175627,0.724495314656674,0.796335707303449
509,0.4821505376344086,0.712687624972354,0.811974739716675
510,0.8342652329749104,0.695632297480778,0.800186814380363
511,0.8513261648745519,0.685745668870769,0.786899408834893
512,0.8166308243727599,0.678318031083552,0.786146565501404
513,0.4696774193548387,0.66977892248021,0.777463731012118
514,0.9155555555555556,0.662147212147864,0.821127403062887
515,0.6807168458781362,0.658734382976803,0.812463187947059
516,0.29863799283154124,0.650072779083145,0.806651460845009
517,0.5043727598566308,0.649431423627257,0.785668668249313
