Year,Average prod (kg/ha),Average prod (Gaussian centered),Average prod (linear lagged)
1127,247.67728086809944,222.984927916479,250.97708855152
1128,260.0235549234443,219.258274002395,249.59249495588
1129,253.53802324764715,215.390083537583,247.287755421289
1130,187.79364201432784,212.212131762074,252.491024263464
1131,151.3259148054502,209.853440103256,252.395180356938
1132,187.31892646439107,208.56609011309,251.94754346943
1133,174.24428466076697,206.226272609077,248.508175525954
1134,174.64298883270123,204.638686097262,243.977955500158
1135,188.0106142014328,203.292132659414,240.880065175261
1136,222.04128037645737,202.768552772785,239.239593917928
1137,248.00020192442759,202.677312854499,235.05293202022
1138,230.6661047899986,201.352071582508,228.914888682746
1139,185.73503125438967,199.682388602411,223.452246944187
1140,207.4396158168282,197.120271425419,220.897950594379
1141,247.83503652198343,194.54159017393,218.418761808379
1142,218.00165051271247,192.665556011809,224.431084405247
1143,146.54179835651075,190.289607810296,220.611989765514
1144,150.5789612305099,188.274239024876,218.636389708292
1145,174.5664770332912,186.900414902316,212.239464546434
1146,216.31005934822306,186.110429247144,206.193873598425
1147,171.28689071498806,186.534144739805,208.69015907069
1148,146.12217305801377,187.645153580072,204.104879122025
1149,162.63842358477314,189.98841585288,197.975629967729
1150,119.346967621857,194.360716976992,191.855060941423
1151,140.37148827082456,198.947991082773,191.505963136573
1152,252.10951327433628,204.079145307403,194.908405893867
1153,248.45872840286557,209.666304503774,195.303431149433
1154,249.33873261694058,215.428241629189,197.212144395615
1155,257.0793036241045,220.638323897246,199.441478971583
1156,236.00334492203962,225.538744986063,200.663335616717
1157,267.8193039752774,229.426676986411,198.989668599182
1158,213.5144332069111,233.318746122082,194.806810580673
1159,196.4810805590673,236.760299315711,192.051792456502
1160,262.2474891136396,239.80208247642,193.712640142318
1161,218.02999894648124,243.232130551668,193.446189591417
1162,253.2601401179941,246.29938430819,189.530913364273
1163,242.2007304396685,248.403033803772,188.432521059733
1164,222.60091831717938,249.952945085568,194.159739210782
1165,238.92908062930186,250.719801828181,199.902410604449
1166,295.5516838741396,251.01343786476,203.988144227477
1167,274.06874209860933,250.447946417683,204.52904431863
1168,278.4731703890996,249.242900789011,209.626969608796
1169,256.4800358196376,247.588166402996,217.490336169777
1170,267.2346625228262,244.384966453637,224.305022981303
